VILLAGE_NAME_ENGLISH,PH,EC,Organinc Carbon,PHOSPHOROUS,POTASH,CALCIUM_CARBONATE,FERROUS,MANAGESE,ZINK,COPPER,Total Rating Value
SHIROL,7.49,13.74,0.7,3.4,459,6,6,36,1.6,7,540.93
SHIROL,7.56,0.61,0.6,5.7,224,7.2,8,25.8,1.2,5,285.67
SHIROL,7.62,0.79,0.4,0.4,56,10,5,9,0.8,3,93.01
SHIROL,7.44,1.04,0.6,5,246,6.8,12,33.6,1.5,4.3,318.28
SHIROL,7.46,10.28,0.6,1.6,302,6.8,7,30,1.2,5.6,372.54
SHIROL,7.49,1.2,0.8,8.1,728,6,6,58,1.5,6.4,823.49
UDGAON,7.39,0.27,0.6,18.6,425,5.6,6.6,43,3,6.8,516.86
UDGAON,7.67,0.34,0.7,0.4,157,6,1.6,43,0.9,6.3,223.91
UDGAON,7.37,0.46,0.4,4.7,560,4.8,1.2,13,4,7,602.93
UDGAON,7.79,0.3,0.9,5.7,322,8.4,6,32,2.4,7.3,392.79
SHIRDHON,7.39,0.34,0.4,12.1,357,6,16.7,68,1,6.6,475.53
SHIRGUPPI,7.69,0.37,0.5,1.07,403,9.2,13.6,71.2,1.1,5.5,513.23
SHIRGUPPI,7.27,0.49,0.6,18.6,310,6.8,18,94,0.9,6,462.66
SHIRGUPPI,7.46,0.81,0.5,7.5,325,8.8,13.4,77.2,0.9,6.5,448.07
SHIRGUPPI,7.52,0.79,0.7,18.6,627,8,11,60.6,0.9,5.5,740.61
SHIRGUPPI,7.97,0.28,0.5,9.5,258,9.6,13.2,54,0.3,4.7,358.05
DATTANAGAR ,7.39,4.57,0.5,18.6,291,6,9.6,80.8,1.6,5.6,425.66
SHEDBAL,7.27,0.21,2,10.6,246,10.4,4.4,28,0.2,2.6,311.68
SHEDBAL,7.17,0.2,0.4,13.6,358,7.6,3.4,47.7,0.4,4.5,442.97
SHIROL,7.27,0.86,0.6,17.6,414,13.6,9.5,54.6,0.2,4.2,522.43
